Player,total_attack_attempts,total_attack_errors,total_kills,avg_attack_error_rate,avg_attempts_per_kill,avg_attack_success_rate,system_state
"Rogers, Lexi",1379,179,549,0.12980420594633793,2.5118397085610202,0.8701957940536621,STRONG ATTACKER
"Bishop, Shelby",8,0,2,0.0,4.0,1.0,STRONG ATTACKER
"Dean, Karli",476,68,189,0.14285714285714285,2.5185185185185186,0.8571428571428572,STRONG ATTACKER
"Bragaw, Emily",30,5,3,0.16666666666666666,10.0,0.8333333333333334,WEAK ATTACKER
"Klank, Olivia",1272,159,406,0.125,3.1330049261083746,0.875,STRONG ATTACKER
"Rang, Lexie",3112,358,1051,0.11503856041131105,2.960989533777355,0.8849614395886889,STRONG ATTACKER
"Kessler, Raquel",533,75,223,0.14071294559099437,2.390134529147982,0.8592870544090057,STRONG ATTACKER
"Shane, Kayla",34,3,12,0.08823529411764706,2.8333333333333335,0.9117647058823529,STRONG ATTACKER
"Baker, Reese",7,0,0,0.0,,1.0,STRONG ATTACKER
"Kohmetscher, Anna",8,3,3,0.375,2.6666666666666665,0.625,WEAK ATTACKER
"Johnson, Maggie",1611,237,549,0.14711359404096835,2.9344262295081966,0.8528864059590316,STRONG ATTACKER
"Roggemann , Kara",741,93,232,0.12550607287449392,3.1939655172413794,0.8744939271255061,STRONG ATTACKER
"Yoder, Paige",408,48,176,0.11764705882352941,2.3181818181818183,0.8823529411764706,STRONG ATTACKER
"Kellenberger, Aline",18,4,5,0.2222222222222222,3.6,0.7777777777777778,WEAK ATTACKER
"Ploss, Jessica",1255,173,517,0.13784860557768924,2.4274661508704063,0.8621513944223107,STRONG ATTACKER
"Edson, Rylee",17,1,6,0.058823529411764705,2.8333333333333335,0.9411764705882353,STRONG ATTACKER
"Walker, Erin",380,72,85,0.18947368421052632,4.470588235294118,0.8105263157894737,WEAK ATTACKER
"Robards, Amanda",2,1,0,0.5,,0.5,WEAK ATTACKER
"Richards, Charlotte",5893,640,1931,0.10860342779568981,3.0517866390471258,0.8913965722043102,STRONG ATTACKER
"McDonough , Kersten",31,2,10,0.06451612903225806,3.1,0.935483870967742,STRONG ATTACKER
"Ayerite, Claudia",0,0,0,NaN,,NaN,WEAK ATTACKER
"Goedde, Grace",0,0,0,NaN,,NaN,WEAK ATTACKER
"Abeyta, Madyson",188,22,59,0.11702127659574468,3.1864406779661016,0.8829787234042553,STRONG ATTACKER
"Lewis, Samantha",175,27,41,0.15428571428571428,4.2682926829268295,0.8457142857142858,WEAK ATTACKER
"Richards, Madsy",3,1,1,0.3333333333333333,3.0,0.6666666666666667,WEAK ATTACKER
"Hartman, Lydia",7,0,1,0.0,7.0,1.0,WEAK ATTACKER
"Davis, Sydney",2,0,0,0.0,,1.0,STRONG ATTACKER
"Miner, Alex",1087,157,463,0.14443422263109476,2.347732181425486,0.8555657773689053,STRONG ATTACKER
"Coughlin, Caitlin",17,6,2,0.35294117647058826,8.5,0.6470588235294117,WEAK ATTACKER
"Woll, Megan",84,8,7,0.09523809523809523,12.0,0.9047619047619048,WEAK ATTACKER
"Brinker, Alivia",21,4,3,0.19047619047619047,7.0,0.8095238095238095,WEAK ATTACKER
"Forstrom, Raina",5,1,3,0.2,1.6666666666666667,0.8,STRONG ATTACKER
"Luchinski, Leah",8,1,0,0.125,,0.875,STRONG ATTACKER
"Russell, Maddy",2719,338,783,0.12431040823832291,3.472541507024266,0.875689591761677,STRONG ATTACKER
"Meyer, Lindsay",236,20,84,0.0847457627118644,2.8095238095238093,0.9152542372881356,STRONG ATTACKER
"Burkle, Chelsea",1161,193,410,0.16623600344530576,2.8317073170731706,0.8337639965546942,STRONG ATTACKER
"Witte, Addison",18,4,3,0.2222222222222222,6.0,0.7777777777777778,WEAK ATTACKER
"Pezze, Gina",1373,220,382,0.16023306627822287,3.594240837696335,0.8397669337217771,STRONG ATTACKER
"Uradzionek, Kristen",393,67,127,0.17048346055979643,3.094488188976378,0.8295165394402035,STRONG ATTACKER
"Karmazyn , Kayla",5,1,0,0.2,,0.8,STRONG ATTACKER
"Miller, Hannah",1649,223,630,0.13523347483323225,2.6174603174603175,0.8647665251667678,STRONG ATTACKER
"Claunch, Alicia",66,13,16,0.19696969696969696,4.125,0.803030303030303,WEAK ATTACKER
"Linnig, Katie",8,0,3,0.0,2.6666666666666665,1.0,STRONG ATTACKER
"Adams, Kylie",47,6,6,0.1276595744680851,7.833333333333333,0.8723404255319149,WEAK ATTACKER
"Brightwell, Haley",1694,221,431,0.13046044864226683,3.9303944315545243,0.8695395513577332,STRONG ATTACKER
"Elliott, Mya",2122,291,940,0.13713477851083883,2.2574468085106383,0.8628652214891612,STRONG ATTACKER
"Siebenmorgen, Jory",1280,202,463,0.1578125,2.7645788336933044,0.8421875,STRONG ATTACKER
"McNulty, Anna",35,5,12,0.14285714285714285,2.9166666666666665,0.8571428571428572,STRONG ATTACKER
"Burbach, Marly",6,0,0,0.0,,1.0,STRONG ATTACKER
"Ewing , Allie",595,133,213,0.2235294117647059,2.7934272300469485,0.7764705882352941,WEAK ATTACKER
"Gillum, Olivia",2,1,0,0.5,,0.5,WEAK ATTACKER
